Utt;;Intent 9
;;Finance-Monitoring
финмон;;Finance-Monitoring
финмон;;Finance-Monitoring
стаття на порталі з фінансового моніторингу;;Finance-Monitoring
статья на портале по финмону;;Finance-Monitoring
публичные лица;;PublicPerson
новости о просроченной идентификации;;Identification-Expired
раскрытие структуры;;Structures-Reveal
конечный бенефициар;;Beneficiaries-End
задачи сети по идентификации;;Identification-Network-Task
пеп;;PEP
ошибки пэп новость на портале;;PEP
задача сети по ошибкам ПЕП;;PEP
мотивация по пеп;;PEP
риск-триггеры;;Risk-Trigger
комплаенс-офицер;;Oficer.Compleance
ящик ЦЕО-ЭФЭМп;;Cio_FM-Box
Перловская Юлия Павловна;;Manager.Indicator
 Филоненко Олеся;;Manager.Indicator
Федчик Виктория;;Manager.Indicator
довідка про закриття рахунку;;Account-Close_Account-Statement
закрытие счета по карточным продуктам;;Account-Close_Account
закриття рахунку;;Account-Close_Account
зачисления на счет;;Account-Transfer
зачисление на карточный счет юрлица;;Card-Activity
зарахування коштів на картковий рахунок ;;Card-Activity
зачисление денежных средств на карточный счет;;Card-Activity
зачисление средств на счет;;Account-Transfer
перечисление на счет;;Account-Transfer
выдача с валютного счета;;CurrencyAccount-Withdraw
поповнення рахунку;;Account-Refill
снятие счета со статуса замороженный;;Account-UnFreeze
постановление счета на учет в налоговую;;Account-DPA-Registration
перевод через май альфа банк;;MyAlfaBank-Transfer
переказ через май альфа банк;;MyAlfaBank-Transfer
перевод через май альфа банк с карты на карту;;Card-Payment-Miscellaneous
переказ з картки на картку через май альфа банк;;Card-Payment-Miscellaneous
перевод с карты на карту через май альфа банк;;Card-Payment-Miscellaneous
переказ через май альфа банк з картки на картку;;Card-Payment-Miscellaneous
альфапей;;Alfapay
альфапей не працює ;;Alfapay
 альфапей не работает;;Alfapay
обработка обращений;;Application
обращение клиента по перечислению денег;;Client-Ask-FundsTransfer
обработка обращений на снятие наличных;;Cash-Withdraw-Application
курс снятия в банкомате;;ATM-Exchange-Rate
неуспешная операция в банкомате;;ATM-Operation-Unsuccessful
карта изьята банкоматом;;ATM-Withdraw-Card
банкомат не увидел карти;;ATM-Card-Problem
карта осталась в банкомате;;ATM-Withdraw-Card
баланс сегодня;;Balance-Inquiry-Today
сегодня деньги будут зачислины;;Account-Transfer
реестр рсз;;RSZ-Register
отдел операций с пластиковыми картами;;Card-Operations-Department
оформление операций по карте;;Card-Operations
оформление операций с платежными картами;;PayCard-Operation-Issue
снять деньги по закрытому карточному счету;;Card-Closed_Account-Withdraw
зачисление на карточный счет;;Account-Transfer
снятие денежных средств с карточного счета;;Card-Miscellaneous
перевод средств с карточного счета ;;Account-Transfer
 перевод денежных средств с карточного счета;;Account-Transfer
карточный счет не активен;;Card_Account-notActive
нас интересует снятие наличных с карточки;;Card-Miscellaneous
зняти готівку з карти;;Card-Miscellaneous
снятие наличных с карты;;Card-Miscellaneous
снятие с карточки;;Card-Miscellaneous
снятие средств без карты;;Card-Miscellaneous
активация карты;;Card-Activate
закрытие карты;;Card-Close_Account
обращение клиента по закрытию карты перечисление денег;;Card-Close_Account-TransferFunds
зачисления на карту;;Card-Activity
зарахуванні коштів на карту;;Card-Activity
зачисление средств на карту;;Card-Activity
заказать курьера для перемещения карты;;Card-Order_Delivery
спорные зачисления по карте;;Card-Activity-Dispute
спорные зачисления денег по карте;;Card-Activity-Dispute
удаление документа по карточным продуктам;;Card-Delete_Document
перечисления с карты;;Card-Activity
зачисление на карту по фонду возмещение;;Card-Reverse_Refund_Transaction
чи буде картка вже в понеділок;;Card-When-WillBe
перечисление денег на карту;;Card-Activity
перевод денег с карты ;;Card-Activity
 перевод денежных средств с карты;;Card-Activity
переказ коштів з корпоративної карти;;Card-Activity
переміщення карти;;Card-Logistic
карткові операції;;Card-Activity
неуспешная операция по карте;;Card-Problem-Operation
заказ карт;;Card-New_Card
проблема з зарахуванням на карты;;Card-Problem
логистика по карточным продуктам;;Card-Logistic
до сих пор не получил карты;;Card-Shipping_Status
пополнение карты;;Card-Activity
выпуск карт для нерезидентов;;Nonresident-Card-Open_Account
карта моряка;;Sailor-Card
куди відправили перевипущену карту;;Card-Reissue-Location
тариф по карте;;Card-Tariff
чи буде картка сьогодні;;Card-When-WillBe
передача карты;;Card-Transfer
разблокировка дебетної карти;;DebitCard-Unblock
разблокировка бізнес карти;;BusinessCard-Block-Unblock
неуспешная операция разблокировка карт;;Card-Blocked
бизнескарта;;BusinessCard
вопросы по бизнескарте;;BusinessCard-Information
бізнескарточка неуспішна авторизація;;BusinessCard-Authorise-Problem
баланс бизнескарты;;BusinessCard-Balance-Inquiry
баланс выпуск бизнескарты;;BusinessCard-Balance-Inquiry
бизнескарточка установлен лимит;;BusinessCard-Limit
списание баланс по бизнескарте;;Business.Card.Remove.Balance
підключення на выпуск бизнескарты;;BusinessCard-Issue
выпуск бизнескарты;;BusinessCard-Issue
бізнескарточка підняття ліміту;;BusinessCard-Change_Limit
неуспішні операції по бізнескарті;;BusinessCard-Problem
перевыпуск бізнескарти;;BusinessCard-Issue
корпоративні карти;;CorporateCard
зачисление на корпоративную карту;;Card-Activity
зачисления на корпоративную карту;;Card-Activity
корпоративная карта юр лица;;LegalPerson-CorporateCard
меня интересует информация по корпоративным картам;;CorporateCard-Information
корпоративная карта увеличение лимита;;CorporateCard-Change_Limit
увеличение лимита по корпоративной карте;;CorporateCard-Change_Limit
кредитні карти;;Card
закриття кредитної картки;;Card-Close_Account
випуск іменної кредитної картки;;Card-Open_Account-Name
уточнить условия оформления кредитных карт;;Card-Open_Account-Condition
зачисление на кредитную карту;;Card-Activity
отделение консьерж по кредитной карте;;CreditCard-Consierge
до какой сумма можно снизить кредитный лимит на кредитной карте;;Credit_Limit-Change_Limit-Decrease
распределение средств по кредитной карте;;Card-Credit-Distribution_Funds
перевыпуск кредитной карты;;CreditCard-Reissue
перевод средств с карты на валютный депозит;;Card-Payment
пополнение валютной карты;;Card-Activity
закрытие счета дебетовая карта;;DebitCard-Close_Account
активація дебетної карти;;DebitCard-Acticate
выпуск дополнительной дебетной карты;;DebitCard-Extra
дебетовая карта не получается снять наличные;;DebitCard-Cash-Withdraw_Trouble
дебетовая карта перевод средств;;Card-Activity
 перевод денежных средств по дебетовой карте;;Card-Activity
проблема при виплаті дебетная карта;;Card-Problem
дебетная карта перевыпустить;;DebitCard-Reissue
перевыпуск дебетовых карт;;DebitCard-Reissue
меня интересует перемещение карты с отделения на отделение через курьера;;Card-Order_Delivery
доставка карты в отделении;;Card-Order_Delivery
доставка карт на отделение;;Card-Order_Delivery
логистика карт;;Card-Logistic
отдел операций с платежными картами;;Card-Operations-Department
логистика платежных карт;;Card-Logistic
зняття з платіжних карт;;PayCard-Withdraw
закрытие счета зарплатной карты;;SalaryCard-Close_Account
активация зарплатной карты;;SalaryCard-Activate
закрытие зарплатной карты;;SalaryCard-Close_Account
интересует выпуск зарплатных карт ;;SalaryCard-Open_Account
 зарплатная карта оформлення;;SalaryCard-Open_Account
снятие с зарплатной карты денег;;Card-Miscellaneous
нас интересует снятие денежных средств без карты зарплатной карточки;;SalaryCard-Miscellaneous
некорректная зарплатная ведомость;;Wrong-Salary-Roll
перевыпуск зарплатной карты;;SalaryCard-Reissue
тарифы по зарплатным картам;;SalaryCard-Tariff
отдел пластиковых карт;;Card-Operations-Department
отдел пластиковых карточек;;Card-Operations-Department
отдел по пластиковым карточкам;;Card-Operations-Department
отдел логистики пластиковых карт;;Card-Operations-Department
отдел персонализации и логистики пластиковых карт;;Card-Operations-Department
операционный отдел пластиковых карт;;Card-Operations-Department
отдел персонализации пластиковых карт;;Card-Operations-Department
отдел поддержки пластиковых карт;;Card-Operations-Department
отдел сопровождения пластиковых карт;;Card-Operations-Department
инвентаризация пластиковых карт;;Card-Inventorisation
логістика пластикових карт;;Card-Logistic
снятие денег с пластиковой карты;;Card-Miscellaneous
перевыпуск карты;;Card-Renew
де знаходиться карта перевипущена ;;Card-Reissue-Location
 перевипущена карта куди відправляли;;Card-Reissue-Location
коли перевипустили карту;;Card-Reissue-When
выдача с карты через заявление через кассу;;Card-Withdraw_Application
заявка выдача с карты;;Card-Withdraw_Application
операции с платежными картами;;PayCard-Operation
неуспішна операція по кредитній карті;;CreditCard-Problem-Operation
зміна ліміту для проведення операції по карті;;Card-Change_Limit
платинум блек;;PlatinumBlack-Card
платинум блек оформлення ;;PlatinumBlack-Card-Open_Account
 платинум блек оформлення;;PlatinumBlack-Card-Open_Account
платинум блек обслуговування поточного продукту;;PlatinumBlack-Card-Service
дебетная карта;;Card
дебетная карта оформлення ;;DebitCard-Open_Account
 дебетна картка оформлення;;DebitCard-Open_Account
дебетная карта обслуговування поточного продукту;;DebitCard-Service
зарплатная карта;;SalaryCard
зарплатная карта обслуговування поточного продукту;;SalaryCard-Service
вопрос по карте;;Card-Inquiry
списання комісії по дебетових картках;;Card-Fees-Remove
відключення страховки по карті;;Insurance-Cancel
снятие карт с карты;;Card-Miscellaneous
снятие с зарплатной карты без карты;;Card-Miscellaneous
снятие с карты без карты;;Card-Miscellaneous
выдача с карты без карты для клиента зарплатного проекта;;Salary-Projects-Withdraw
рішення кредитного комітету;;CreditCommittee-Decision
консьерж сервис;;Concierge-Service
зарахуванні коштів;;FundsTransaction
зачисление средств;;FundsTransaction
зачислить деньги;;FundsTransaction
розрахунок заборгованості;;Debt-Pay
отдел логистики;;Logistics
отдел координации;;Coordination-Department
цікавить звернення щодо реструктуризації;;Restructuration-Ask
отдел координации довідка для страхової;;Coordination-Department-Statment-Inquiry
отдел поддержки карточных продуктов;;CardProducts-Department
отдел опэкапэ;;CardProducts-Department
отдел опэкапэ списання комісії по кредитній карті;;CreditCard-Fees-Remove
отдел опэкапэ закриття карти;;CardProducts-Department-Close_Account
отдел поддержки розничной сети;;Retail-Network-Support-Department
отдел поддержки розничной сети реструктуризації;;Restructurisation-Network-Department
отдел поддержки и координации региональной сети;;Regional-Network-Support-Department
отдел сопровождения и координации сети;;Network-Support-Department
отдел поддержки и координации региональной сети реструктуризації;;Restructurisation-Network-Department
списання комісії по кредитній карті;;CreditCard-Fees-Remove
отдел поддержки карточных продуктов цікавить закриття карти;;CardProducts-Department-Close_Account
кредитный отдел;;Loan-Department
отдел кредитования;;Loan-Department
сопровождение координации региональной сети;;Network-Support
оформлення нового кредиту;;Loan-Application
обслуговування існуючого кредиту;;Loan-Service
комиссия по кредиту;;Loan-Fees
переплата по кредиту;;Loan-OverPay
переплата по кредиту;;Loan-OverPay
видача піл;;Pil-Issue
согласование индивидуальных условий юридических лиц;;LegalPerson-Individual-Conditions
установка лимита, встановленя ліміту;;Access_Limit-Change_Limit
май альфа банку;;MyAlphaBank
платежи май альфа банку;;MyAlphaBank-Transactions
копирование заявки по кредитной карте;;CreditCard-Application-Copy
выписка по кредиту;;Loan-Statement
переказ для фізичної особи;;NaturalPerson-FundsTransfer
кредитные каникулы;;Credit-Holidays
отдел поддержки;;Support-Department
нее связаться с отделом;;Department-Contact
депозиты;;Deposits
депозиты оформлення;;Deposits-Issue
депозиты обслуговування поточного продукту;;Deposits-Service
реклама по депозитам;;Deposits-Advertisement
розірвання депозиту;;Deposits-Break
депозит открыли а деньги перебросится не смогли;;Deposits-FundsTransfer-Trouble
ставки по депозиту ;;Deposits-Interest
 ставки за депозитом;;Deposits-Interest
поповнення депозиту;;Deposits-Refill
возврат депозита;;Deposits-Return
электронная очередь ;;Digital-Queue
 електронна черга;;Digital-Queue
удаление документа;;Paperwork-Delete
меня интересует согласование и удаление документа из би два;;BTwo.Document.Delete
оформлення документів по завантаженню і розвантаженню банкоматів;;ATM-Paperwork-Issue
перевод в долларах сша;;USD-FundsTransfer
зняття готівки;;Cash-Withdraw
снятие доллара;;USD-Withdraw
снятие денег ;;Cash-Withdraw
 снятие средств;;Cash-Withdraw
выплати по фидо банку;;FidoBank-Payment
фонд гарантирования;;Guarantee-Foundation
выплата по фонду;;Foundation-Payment
транш по фонду;;Foundation-Transation
відключення страховки;;Insurance-Cancel
справка для страховой;;Insurance-Statement
процедура повернення страхової суми;;Insurance-Refund
инвентаризация;;Inventory
как в искарде удалить договор;;Iscard-Agreement-Delete
зміна ліміту;;Card-Change_Limit
підняття ліміту;;Card-Change_Limit-Increase
підняття ліміту по карті;;Card-Change_Limit-Increase
зниження ліміту;;Card-Change_Limit_Decrease
обработка пенсионных списков;;Pension
кредит;;Loan
пил кредит;;Loan-PIL
проблеми з видачею кредитних коштів клієнту ;;Loan-Funds-Issue-Problem
 проблеми з видачею кредитних коштів клієнту;;Loan-Funds-Issue-Problem
списання комісії по кредиту ;;Loan-Fee-PayOff
списання комісії по кредиту;;Loan-Fee-PayOff
кредит наличными;;Loan-Cash
кредит наличными оформлення;;Loan-Application
обслуговування кредиту ;;Loan-Service
 обслуговування кредиту;;Loan-Service
вопрос по кредитованию;;Loan-Inforamtion
вопрос по кредитованию оформлення;;Loan-Inforamtion
обслуговування поточного кредиту;;Loan-Service
интересует информация по купленному кредитному портфелю;;Loan-Bought-Information
возможно ли оформить кредит без страховки;;Loan-Application-noInsurance
чи можливо оформити кредит без страховки;;Loan-Application-noInsurance
кредитный лимит ;;Credit_Limit-Inquiry
кредитний ліміт;;Credit_Limit-Inquiry
увеличение кредитного лимита;;Credit_Limit-Change_Limit-Increase
выплата кредита;;Loan-Payment
отказ по кредиту ;;Loan-Application_Declined
 відмова по кредиту;;Loan-Application_Declined
деньги были зачислены;;Funds-Come
баланс сегодня деньги были зачислены;;Balance-Inquiry-Today
некорректне зарахування коштів;;Transactions-Problem
обработка движении средств;;Transactions-List_Transactions
не зараховуються кошти;;Transactions-Problem
виписка по боргу ;;Debt-Inquiry
 виписка по заборгованості;;Debt-Inquiry
выписка для посольства;;Statement-Inquiry-Embassy
справка по заработной плате для клиента;;Client-Payroll-Statment
справка по зарплате для клиента;;Client-Payroll-Statment
отдел ооопека;;OOOPK-Department
цікавить списання залишку з рахунку клієнта;;Balance-Account-Remove
спорные операции;;Operation-Disputed
не зачислен платеж;;Transactions-Problem
зарахування зарплати;;Salary-Transactions
ведомость по зарплате;;Salary-Transactions
зарахування пенсій;;Pension
зміна номеру телефону;;Account-Change_Phone
пополнение по доверенности;;Refill-by-Attorney
поступление средств с компании зачисление денег по зарплате;;Salary-Transactions
узнать пополнение;;Transactions-List_Transactions
рефинансирование ;;Refinance
 рефінансування;;Refinance
снятие по сибелю по заявлению;;Sibel-Transactions-Inquiry
снятие средств по заявлению;;Cash-Withdraw-Application
снятие наличных в сибеле;;Sibel-Cash-Withdraw
реструкторизація;;Restructure
зарплатні проекти ;;Salary-Projects
 зарплатный проект;;Salary-Projects
закриття зарплатного проекту;;Salary-Projects
код зарплатного проэкта;;Salary-Projects
меня интересует поговорить с сотрудником по зарплатному проекту по сопровождению;;Salary-Projects
выпуск доп карты обращение в сибель;;Sibel-Card-Open_Account
оформление операций с платежными картами в системе сибель;;PayCard-Operation-Issue
обработка обращений в системе сибель;;Sibel-Application
платежи в сибеле;;Sibel-Payment
отработка обращений в сибеле по снятию наличных;;Sibel-Cash-Withdraw
логистика сифронт;;Sifront-Logistics
клиенту не пришло эсэмэс уведомление;;Alerts-Problem
социальные выплаты;;Social-Payment
свіфт;;Swift
свифт перевод;;Swift-Transfer
топ ап;;TopUp
ошибка в слолп ;;Slolp-Problem
 помилка в слолп;;Slolp-Problem
отклоненная транзакция;;Transactions-Transaction_Declined
відхилена транзакція по зарплатній картці;;SalaryCard-Operation-Problem
відхилена транзакція по дебетовій картці;;DebitCard-Operation-Problem
вероятность возникновения рисков при предоставлении разрешения на переоформление правоустанавливающих документов на предмет ипотеки в связи с его реконструкцией и самовольным строительством 
 переоформлення правовстановлюючих документів на предмет іпотеки у зв'язку з його реконструкцією та самовільним будівництвом 
 вероятные риски при разрешенни на переоформление правоустанавливающих документов на предмет ипотеки в связи с реконструкцией и самовольным строительством ;;HomeLoan-Application
 какие риски при переоформлении ипотеки в связи с реконструкцией ;;HomeLoan-Application
 какие риски при переоформлении ипотеки в связи с реконструкцией самовольным строительством;;HomeLoan-Application
кредит фізичній особі в іноземній валюті ;;ForeignCurrency-Loan
 чи можна надати кредит фізичній особі в іноземній валюті ;;ForeignCurrency-Loan
 кредит в валюте для физического лица;;ForeignCurrency-Loan
можно ли получить кредит физлицу в валюте;;ForeignCurrency-Loan
чи може бути прийнята довіреність видана нотаріусом на території криму ;;Notary-Attorney-Crimea
 чинність довіреності виданої в криму ;;Notary-Attorney-Crimea
 принимается ли доверенность выданная в Крыму ;;Notary-Attorney-Crimea
 доверенность выданная в Крыму;;Notary-Attorney-Crimea
чи є дійсною довіреність що була видана на території російської федерації ;;Notary-Attorney-Russia
 чинність довіреності виданої в російській федерації ;;Notary-Attorney-Russia
 действительна ли доверенность выданная в российской федерации ;;Notary-Attorney-Russia
 доверенность выданная в российской федерации ;;Notary-Attorney-Russia
 действительна ли доверенность выданная россией;;Notary-Attorney-Russia
чи необхідно перекладати на українську мову довіреність що була видана на території російської федерації ;;Notary-Attorney-Russia-Translate
 нужно ли переводить на украинский язык доверенность выданную в российской федерации;;Notary-Attorney-Russia-Translate
нужно ли переводить на украинский язык доверенность выданную в российской федерации ;;Notary-Attorney-Russia-Translate
 необходимо ли переводить доверенность выданную в россии;;Notary-Attorney-Russia-Translate
чи повинна бути довіреність перекладена з російської;;Notary-Attorney-Russia-Translate
які вимоги до фізичної особи підприємця ;;FOP.Requirements
 вимоги до ФОП ;;FOP.Requirements
 какие требования к физическому лицу предпринимателю ;;FOP.Requirements
 обязательные требования к физическому лицу предпринимателю;;FOP.Requirements
чи можна видати пін конверт на підставі довіреності ;;Pin_Envelope-Attorney
 видача пін конверту за довіреністю ;;Pin_Envelope-Attorney
 можно ли получить пин конверт на основании доверенности ;;Pin_Envelope-Attorney
 выдается ли пин конверт по доверенности;;Pin_Envelope-Attorney
чи можливо видати банківську платіжну картку на підставі довіреності ;;Card-Open_Account-Attorney
 возможно получить карту на основании доверенности ;;Card-Open_Account-Attorney
 выдается ли платежная карта по доверенности;;Card-Open_Account-Attorney
видача картки за довіреністю;;Card-Open_Account-Attorney
чи можливо отримати грошові кошти з банківської платіжної картки на підставі довіреності ;;Card-Recive-Money-Attorney
 отримання коштів з платіжної картки за довіреністю ;;Card-Recive-Money-Attorney
 выдаются ли деньги с платежной карты по доверенности;;Card-Recive-Money-Attorney
що має бути вказано в довіреності;;Attorney.Content
пункти, які повинні бути в довіренності 
 пункти, які повинні бути в довіренності 
 что должно быть указано в доверенности 
 необходимые поля, которые должны быть указаны в доверенности;;Attorney.Content
необходимые поля, которые должны быть указаны в доверенности;;Attorney.Content
в картці із зразками підписів та відбитка печатки не наведено зразок підпису першого керівника;;Card-No-Main-Signature
чинність картки із зразками підписами та печатки без підпису першого керівника ;;Card-No-Main-Signature
 в карте образцов подписей и печати нет подписи первого руководителя что делать ;;Card-No-Main-Signature
 действительность карты с образцами подписей и печати без подписи первого руководителя;;Card-No-Main-Signature
чи може довірена особа отримати інформацію що містить банківську таємницю;;BankSecter-Trusted-Person
банківська таємниця для довіреної особи 
 может ли доверенное лицо получить информацию, которая считается банковской тайной 
 получает ли доверенная личность информацию, которая содержит банковскую тайну;;BankSecter-Trusted-Person
в який термін розглядаються звернення громадян ;;Client-Ask-Term
 терміни розгляду звернень громадян ;;Client-Ask-Term
 в какой срок рассматриваются обращения граждан;;Client-Ask-Term
юридична особа відкриває новий поточний рахунок чи потрібно нотаріально засвідчувати картку із зразками підписів та відбитка печатки якщо право підпису мають ті самі особи;;LegalPerson-Imprint-Open-Account
чи є необхідність при відкритті нового рахунку для юридичної особи надавати нову картку зразків підписів та печатки ;;LegalPerson-Imprint-Open-Account
 юридическое лицо открывает новый текущий счет нужно ли нотариально засведетельствовать карту с образцами подписей и печати если право подписи имеют те же люди ;;LegalPerson-Imprint-Open-Account
 нотариальное подтверждение карты с образцами подписей и печати для нового счета юридического лица ;;LegalPerson-Imprint-Open-Account
 нужно ли нотариально заверять карту с образцами подписей при открытии счета юр лицу;;LegalPerson-Imprint-Open-Account
